Label	Weight	Text
l_FosterCare	1	what do i have planned for tuesday
l_FosterCare	1	i need a list of wic locations
l_FosterCare	1	what does my calendar look like for today
l_FosterCare	1	do i have any upcoming court dates
l_FosterCare	1	find upcoming court dates for jane
l_FosterCare	1	how do i find child care
l_FosterCare	1	i am looking for child care providers in chicago
l_FosterCare	1	what's going on tomorrow
l_FosterCare	1	i'm looking for wic locations
l_FosterCare	1	see ya
l_FosterCare	1	are there upcoming court dates for jane
l_FosterCare	1	get upcoming court dates for jane
l_FosterCare	1	are there approved child care providers near me
l_FosterCare	1	do i have upcoming court date
l_FosterCare	1	what do i have for tomorrow
l_FosterCare	1	can you get my upcoming court dates
l_FosterCare	1	do i have any upcoming appointments
l_FosterCare	1	do i have any court dates
l_FosterCare	1	what do i have planned for march 13th
l_FosterCare	1	get upcoming court dates
l_FosterCare	1	what are my appointment for today
l_FosterCare	1	what are my appointments for today
l_FosterCare	1	find child providers
l_FosterCare	1	see ya later
l_FosterCare	1	can you get my appointments
l_FosterCare	1	i cant remember my court date. can you give me my court date
l_FosterCare	1	can you give me a list of upcoming court dates
l_FosterCare	1	what do i have for thursday
l_FosterCare	1	get child providers in chicago
l_FosterCare	1	can you find my court dates
l_FosterCare	1	i'm looking for wic locations in 20876
l_FosterCare	1	goodbye
l_FosterCare	1	find a child care provider
l_FosterCare	1	i need to find places to donate clothes
l_FosterCare	1	bye
l_FosterCare	1	i realize that i have an upcoming court date. is it important that i attend
l_FosterCare	1	find providers
l_FosterCare	1	i need wic locations
None	1	where are dmv locations near me
None	1	hiya
None	1	thanks so much
None	1	i have a court hearing coming up and i was wondering is it important that i attend
None	1	should i count foster care in my income taxes
None	1	i have an upcoming court hearing and i was wondering is it important that i attend
None	1	hello
None	1	thanks
None	1	should i attend my upcoming court date
None	1	why is sky blue
None	1	hola
None	1	are wic services free
None	1	do i need to count the foster care income i receive
None	1	what do i need to do to prepare myself for home visit
None	1	i'm looking for dmv locations
None	1	i have a court hearing coming up and was wondering was it important for me to attend
None	1	gobbbledy gook
None	1	3. do i get to choose the foster child for my home
None	1	thank you
None	1	what is wic
None	1	do i have to pay for child care
None	1	how do i become a foster parent
None	1	i have a court hearing coming up and i am wondering if it is important for me to attend
q_fostercare-qna	1	Well you're happy today.
q_fostercare-qna	1	Are you romantic at heart
q_fostercare-qna	1	Are you Cortana
q_fostercare-qna	1	I want to be buddies
q_fostercare-qna	1	I like you a lot
q_fostercare-qna	1	How do you feel about art
q_fostercare-qna	1	Are you able to cook dinner
q_fostercare-qna	1	Who looks more beautiful, you or me
q_fostercare-qna	1	Do you love somebody
q_fostercare-qna	1	Let's shoot the breeze when I return
q_fostercare-qna	1	Do you get hurt
q_fostercare-qna	1	Read me a story
q_fostercare-qna	1	How would you make me laugh
q_fostercare-qna	1	I am going to get you fired
q_fostercare-qna	1	I don't have an opinion
q_fostercare-qna	1	Will you make me your spouse
q_fostercare-qna	1	How long have you been chatting
q_fostercare-qna	1	You're not scheming to kill all humans
q_fostercare-qna	1	Cortana does a better job
q_fostercare-qna	1	Between you or me, who is the most intelligent
q_fostercare-qna	1	How bad do you think I am
