Label	Weight	Text
l_Child Welfare LUIS	14.73684	what are my appointments for today?
l_Child Welfare LUIS	14.73684	find child provider
l_Child Welfare LUIS	14.73684	find providers
l_Child Welfare LUIS	14.73684	get upcoming court dates
l_Child Welfare LUIS	14.73684	i need someone to watch kids
l_Child Welfare LUIS	14.73684	are there upcoming court dates for jane
l_Child Welfare LUIS	14.73684	find child care providers in chicago
l_Child Welfare LUIS	14.73684	do i have anything for thursday?
l_Child Welfare LUIS	14.73684	i realize that i have an upcoming court date. is it important that i attend?
l_Child Welfare LUIS	14.73684	how do i find child care
l_Child Welfare LUIS	14.73684	i am looking for child care providers in chicago
l_Child Welfare LUIS	14.73684	do i have any court dates
l_Child Welfare LUIS	14.73684	are there approved child care providers near me?
l_Child Welfare LUIS	14.73684	i need to find places to donate clothes
l_Child Welfare LUIS	14.73684	do i have any upcoming appointments?
l_Child Welfare LUIS	14.73684	see ya later
l_Child Welfare LUIS	14.73684	do i have upcoming court date
l_Child Welfare LUIS	14.73684	i'm looking for wic locations in 20876
l_Child Welfare LUIS	14.73684	i need a list of wic locations
l_Child Welfare LUIS	14.73684	get child care providers
l_Child Welfare LUIS	14.73684	find child providers
l_Child Welfare LUIS	14.73684	can you give me a list of upcoming court dates
l_Child Welfare LUIS	14.73684	what do i have planned for march 13th
l_Child Welfare LUIS	14.73684	i'm looking for wic locations
l_Child Welfare LUIS	14.73684	i'm looking for child care providers
l_Child Welfare LUIS	14.73684	goodbye
l_Child Welfare LUIS	14.73684	can you get my appointments?
l_Child Welfare LUIS	14.73684	find upcoming court dates for jane
l_Child Welfare LUIS	14.73684	can you give me my upcoming court dates
l_Child Welfare LUIS	14.73684	what do i have for thursday
l_Child Welfare LUIS	14.73684	can you get my upcoming court dates?
l_Child Welfare LUIS	14.73684	bye
l_Child Welfare LUIS	14.73684	do i have any upcoming court dates
l_Child Welfare LUIS	14.73684	what do i have planned for tuesday
l_Child Welfare LUIS	14.73684	get child providers in chicago
l_Child Welfare LUIS	14.73684	find a child care provider
l_Child Welfare LUIS	14.73684	i cant remember my court date. can you give me my court date
l_Child Welfare LUIS	14.73684	see ya
None	24.34783	how do i become a foster parent?
None	24.34783	should i count foster care in my income taxes
None	24.34783	i have an upcoming court hearing and i was wondering is it important that i attend?
None	24.34783	hiya
None	24.34783	are wic services free
None	24.34783	thank you
None	24.34783	i have a court hearing coming up and i was wondering is it important that i attend?
None	24.34783	where are dmv locations near me
None	24.34783	do i need to count the foster care income i receive?
None	24.34783	is it important to attend court hearings?
None	24.34783	i need to find a dmv
None	24.34783	thanks
None	24.34783	why is sky blue?
None	24.34783	are foster care payments taxable?
None	24.34783	what is wic
None	24.34783	do i have to pay for child care?
None	24.34783	i have a court hearing coming up and i am wondering if it is important for me to attend
None	24.34783	i'm looking for dmv locations
None	24.34783	hey
None	24.34783	hello
None	24.34783	hola
None	48.69565	should i attend my upcoming court date
q_Foster Care QnA	1	That's true
q_Foster Care QnA	1	Who's your dad?
q_Foster Care QnA	1	You're so smart
q_Foster Care QnA	1	Sing something
q_Foster Care QnA	1	Where is the Arkansas child welfare office?
q_Foster Care QnA	1	How was your day?
q_Foster Care QnA	1	Are you human?
q_Foster Care QnA	1	Can you make me a sandwich?
q_Foster Care QnA	1	Do I get to choose the foster child for my home?
q_Foster Care QnA	1	Be more fun
q_Foster Care QnA	1	You're a fuckup
q_Foster Care QnA	1	What if a child needs constant care or supervision?
q_Foster Care QnA	1	Nighty night
